nkcr,wd
ge619267,Q570846
ge649151,Q571748
ge662532,Q564765
ge681166,Q552165
ge702161,Q571822
ge717376,Q554417
ge731586,Q557152
ge763087,Q572075
ge768429,Q570702
ge845451,Q557416
ge872082,Q550822
ge892980,Q550866
ge938443,Q566156
ge1002724,Q590063
ge1030431,Q596239
ge1032165,Q574468
ge1071689,Q581994
ge1079424,Q579274
ge1082948,Q589608
ge1108398,Q586861
ge115483,Q592826
ge128894,Q582488
ge130015,Q593386
ge131330,Q585050
ge134381,Q575289
ge134493,Q603503
ge138807,Q577931
ge188157,Q582652
ge242852,Q587467
ge287717,Q590671
ge292420,Q588478
ge333453,Q588477
ge338484,Q599113
ge342328,Q586072
ge346505,Q601452
ge371257,Q582531
ge375490,Q602801
ge375899,Q587746
ge378881,Q581615
ge381613,Q583228
ge382991,Q600039
ge485995,Q574334
ge490709,Q586464
ge503380,Q592123
ge570891,Q603249
ge592071,Q597002
ge617795,Q601069
ge678910,Q578957
ge679668,Q604264
ge736586,Q592809
ge738432,Q604141
ge754129,Q576339
ge756167,Q584935
ge791417,Q596109
ge802909,Q577711
ge819172,Q583161
ge825750,Q594985
ge870460,Q582533
ge874174,Q584862
ge888783,Q579062
ph182336,Q574365
ge1085521,Q628190
ge1096364,Q622817
ge1124530,Q622391
ge116960,Q631971
ge129136,Q617407
ge129321,Q617862
ge129738,Q636578
ge131280,Q612646
ge131712,Q605208
ge254931,Q631813
ge289296,Q625091
ge291097,Q610371
ge327514,Q633660
ge334257,Q605133
ge342290,Q625154
ge351132,Q609909
ge366781,Q633987
ge399783,Q612821
ge440777,Q613251
ge456209,Q625139
ge471747,Q623049
ge471827,Q623549
ge501657,Q625415
ge527407,Q617069
ge549136,Q614825
ge559287,Q612533
ge566599,Q626309
ge596097,Q605256
ge612010,Q614427
ge679015,Q623687
ge752394,Q635650
ge760252,Q629849
ge761309,Q610165
ge793363,Q631407
ge821756,Q622783
ge901582,Q621549
ge908241,Q608977
ge924184,Q633858
ge948243,Q629511
ge958015,Q632276
ph1093088,Q555118
ph274688,Q557873
ph779436,Q570204
ge275103,Q649168
ge278580,Q660701
ge346793,Q648592
ge361272,Q658855
ge371652,Q656654
ge407609,Q656189
ge414339,Q645925
ge451733,Q661046
ge451763,Q650575
ge563681,Q646666
ge672209,Q640024
ge679329,Q659018
ge730425,Q652539
ge731146,Q663238
ge821992,Q658409
ge847211,Q639731
ge935652,Q639374
ge936185,Q638920
ge955325,Q644159
ge993265,Q660015
ph119058,Q648154
ge1052788,Q695411
ge1055032,Q690971
ge1058033,Q672211
ge1086810,Q690035
ge1094670,Q697545
ge1096306,Q682318
ge1098056,Q688656
ge1108399,Q675152
ge1108930,Q700597
ge129192,Q671293
ge129998,Q677593
ge130558,Q668247
ge130614,Q700283
ge130639,Q676881
ge130847,Q681964
ge131288,Q673741
ge137988,Q674016
ge170153,Q677514
ge228604,Q673317
ge280460,Q670427
ge327528,Q697920
ge330157,Q686513
ge336752,Q690542
ge336759,Q673464
ge339007,Q687499
ge369091,Q700204
ge369118,Q692865
ge406059,Q694187
ge414308,Q683206
ge427431,Q677773
ge483453,Q681620
ge483486,Q681620
ge496805,Q690335
ge505750,Q695259
ge547593,Q681099
ge550359,Q670283
ge552255,Q690698
ge559028,Q673183
ge584267,Q692880
ge631710,Q689468
ge648993,Q693714
ge659910,Q679249
ge750455,Q696051
ge754419,Q691504
ge759457,Q679371
ge799508,Q696846
ge801567,Q676688
ge834487,Q696893
ge880597,Q674215
ge891475,Q668824
ge895027,Q680963
ge971180,Q679534
ph117506,Q604897
ph239908,Q629965
ph824556,Q624497
ge1007329,Q656447
ge1039739,Q660393
ge1094664,Q660453
ge1096479,Q657642
ge1103856,Q646396
ge114162,Q651322
ge128484,Q638306
ge129783,Q652710
ge130584,Q654019
ge137855,Q660208
ge214530,Q639876
ge230335,Q665868
ge259569,Q660976
ge272698,Q665641
ph1119020,Q697516
ph573137,Q694379
ph624590,Q697053
ph689884,Q686944
ge1014107,Q703786
ge1078046,Q702410
ge1087401,Q701011
ge129334,Q704033
ge129559,Q703182
ge131478,Q713750
ge216398,Q708317
ge259813,Q702188
ge280793,Q703218
ge343730,Q724480
ge369093,Q701681
