wikibase_item,pdf,zot
Q35319,https://www.inguma.eus/fso/fitxategia/4-ikergazte.iv.04.53-60.paziente-eskizofreniko.pdf,LYXNNRSR
Q35320,https://www.inguma.eus/fso/fitxategia/3-ikergazte.iv.04.45-51.aurresan-ezin.pdf,SGAPYRZB
Q35327,https://www.inguma.eus/fso/fitxategia/127-ikergazte.iv.02.299-305.autodeterminazioa-erabakitzeko.pdf,IAQU332L
Q35328,https://www.inguma.eus/fso/fitxategia/126-ikergazte.iv.02.291-298.langileen-parte.pdf,CU95DH69
Q35329,https://www.inguma.eus/fso/fitxategia/125-ikergazte.iv.02.283-290.abestiak-sinbolismoa.pdf,AL3F7DAT
Q35337,https://www.inguma.eus/fso/fitxategia/117-ikergazte.iv.02.217-222.lehen-hezkuntzako.pdf,CYRIFQKT
Q35340,https://www.inguma.eus/fso/fitxategia/114-ikergazte.iv.02.193-200.derrigorrezko-bigarren.pdf,3K88DQUK
Q35341,https://www.inguma.eus/fso/fitxategia/113-ikergazte.iv.02.185-192.elkar-laguntza.pdf,APWF4LCV
Q35343,https://www.inguma.eus/fso/fitxategia/111-ikergazte.iv.02.169-176.ezeztapena-identifikatzeko.pdf,R4D5J58X
Q35344,https://www.inguma.eus/fso/fitxategia/110-ikergazte.iv.02.161-167.identitatearen-eraikuntza.pdf,8CCV7IFF
Q35353,https://www.inguma.eus/fso/fitxategia/101-ikergazte.iv.02.87-94.komunitarioa-gizarte.pdf,8FGNBTIB
Q35358,https://www.inguma.eus/fso/fitxategia/96-ikergazte.iv.02.49-55.kooperatibismoaren-hariak.pdf,69J5E93A
Q35361,https://www.inguma.eus/fso/fitxategia/94-ikergazte.iv.02.27-32.zuzenbideak-genero.pdf,I4ESJFC3
Q35369,https://www.inguma.eus/fso/fitxategia/150-ikergazte.iv.01.107-112.euskararen-belaunaldiz.pdf,77WS6V5A
Q35372,https://www.inguma.eus/fso/fitxategia/86-ikergazte.iv.01.85-92.gorputza-edertasun.pdf,BBI2CP2C
