artikulua	wd	wd_upload	statement	reference
https://wikibase.inguma.eus/entity/Q24605	Q77312300	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312300-68F7CA37-4CF2-4AF0-840B-58F42F572077	63ae084f2642ce54a7eba6079708d77107716014
https://wikibase.inguma.eus/entity/Q15102	Q77313541	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77313541-DC92B671-E117-4F10-9D0C-B598C41A6730	08d9cd03103f32b48232676f5633a1c2e8b39fd2
https://wikibase.inguma.eus/entity/Q24608	Q77312283	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312283-4657E65C-19B1-49A2-91B3-DDE6DF9937A6	2e87f75d1db664912128e8db905ffed12d2d678d
https://wikibase.inguma.eus/entity/Q34539	Q76507920	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507920-EC088876-2E70-4826-B0A6-009D2BFC9510	9070255de88fcb1532a904f860421a8c579902f3
https://wikibase.inguma.eus/entity/Q13841	Q130761425	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q130761425-A33626D2-2880-4E9F-A0FC-3C37D38B4028	ae539f74c515db0d7a0e455149323b2dfb157908
https://wikibase.inguma.eus/entity/Q13845	Q130761226	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q130761226-C8053C50-71DA-451F-B8F0-4BCB1AB33839	6ccfffdc37a6762ff6d3975096f61b7265537ace
https://wikibase.inguma.eus/entity/Q24177	Q76506977	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76506977-26C00F87-62AD-4DFD-A461-31CC4556FDE6	7afcb4aa206cc871fcca89c2f1d66e518274c2d0
https://wikibase.inguma.eus/entity/Q25751	Q76507123	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507123-3F84BEFC-C0F1-4FFE-B83B-E032679169BA	06d9949e8cd7b00c0a18e4bd013a3585677dd756
https://wikibase.inguma.eus/entity/Q34544	Q76507500	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507500-96A7F987-1F37-4353-9D8D-64EE2FBFE699	3537a8cc66775597544277a803841e10d0a499a3
https://wikibase.inguma.eus/entity/Q25753	Q76507118	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507118-794386BC-C8B0-4366-BAF9-909CB3874780	b6156631bb9a3918c36d8cac520453f700082651
https://wikibase.inguma.eus/entity/Q25532	Q77312463	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312463-417B220B-969E-49A3-ACE0-7F60D3336E66	9aa19ff784f41deab51dfc38e76c4a2ba068dc8c
https://wikibase.inguma.eus/entity/Q25533	Q77312460	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312460-587D47F0-FA8F-4EBD-A83D-B07611DA6D8B	ad191a3ca0fd319443f395f56477660985ccc3e8
https://wikibase.inguma.eus/entity/Q25534	Q77312455	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312455-4B726268-AC56-494E-ABFA-25799887E7D4	01e34653beccabfc649c5af21c22655a68e6c147
https://wikibase.inguma.eus/entity/Q18762	Q77312012	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312012-7E73DAB4-1139-4A74-AC18-9751A1804FE2	bc319fabed4d639bf6c4fee8018976f1184117aa
https://wikibase.inguma.eus/entity/Q18768	Q77311993	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77311993-91A23139-5DF4-405B-8807-82EA213DAA1E	9a58badb794ec19523c22f268fd6ba1da4ee3bcf
https://wikibase.inguma.eus/entity/Q16607	Q77311793	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77311793-A5E6C3C0-37D6-48A2-BBCF-8D4BFC7367DB	732db1886afcaaafabd75231abb4de3f38269aa1
https://wikibase.inguma.eus/entity/Q25765	Q77312447	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312447-A7885660-16FF-4030-8FC8-BA72525EBD0E	08e5f1445641dc15b387993bd476f4064001b170
https://wikibase.inguma.eus/entity/Q14690	Q130761373	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q130761373-F8A91A5A-3687-4689-9FDF-FC1232532053	f70b706677cc7f0388f5e6813b2a34685e91943d
https://wikibase.inguma.eus/entity/Q14692	Q130761369	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q130761369-7A071BFB-3726-4C4C-A5D0-82C702C5A7EA	5095365c2b51dbc5a6709cd76bca077e88ea1bd6
https://wikibase.inguma.eus/entity/Q14715	Q130761326	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q130761326-684B2D50-10B0-432E-948C-467BC4536059	396e72676d843ac03b9d446d408de6e2cee934a8
https://wikibase.inguma.eus/entity/Q34560	Q76507573	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507573-9E0E9B28-1169-4190-BAF9-37207B1053F2	def86d31c285c911b3e04855f13909b954b7d629
https://wikibase.inguma.eus/entity/Q17473	Q77311970	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77311970-2EAC83E9-5912-4675-B448-B8DD3C9C4A89	a08567f97390e99b36623d0a0e8c0b22cae1e4e5
https://wikibase.inguma.eus/entity/Q17704	Q77311965	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77311965-D88B4015-0FB4-4AE4-BAF7-9275FF6D8FE5	1de19e4cf8e70d08d872cfe2f021c7d0d47ca601
https://wikibase.inguma.eus/entity/Q37317	Q130761232	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q130761232-676CB5E1-3D90-437E-9E58-5960DB7EAE19	9e17e89fc28d8d3db19216b65d12a0ffb4ed7d45
https://wikibase.inguma.eus/entity/Q37319	Q130761024	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q130761024-1271B1E3-90B8-42E3-9987-332B208D8960	a93056b99c1e70cb492b95ae137ac68a62549fca
