izena	bdb_id
Patruxi Salaberria Isasti	https://bdb.bertsozale.eus/web/haitzondo/view/4636-patruxi-salaberria-isasti
Juan Kruz Elizegi Maiz	https://bdb.bertsozale.eus/web/haitzondo/view/654-juan-kruz-elizegi-maiz
Pello Errota	https://bdb.bertsozale.eus/web/haitzondo/view/655-pello-errota
Sabina Elizegi Maiz	https://bdb.bertsozale.eus/web/haitzondo/view/656-sabina-elizegi-maiz
Jose Agustin  Elola-Olaso "Agustin Zakarra"	https://bdb.bertsozale.eus/web/haitzondo/view/660-jose-agustin-elola-olaso-agustin-zakarra
Juanjo Elordi	https://bdb.bertsozale.eus/web/haitzondo/view/663-juanjo-elordi
Patxi Elorga	https://bdb.bertsozale.eus/web/haitzondo/view/666-patxi-elorga
Unai Elorriaga	https://bdb.bertsozale.eus/web/haitzondo/view/670-unai-elorriaga
Ander Elortegi	https://bdb.bertsozale.eus/web/haitzondo/view/672-ander-elortegi
Igor Elortza	https://bdb.bertsozale.eus/web/haitzondo/view/673-igor-elortza
Jose Ramon Elortza	https://bdb.bertsozale.eus/web/haitzondo/view/674-jose-ramon-elortza
Juan Frantzisko  Elorza "Kortazar"	https://bdb.bertsozale.eus/web/haitzondo/view/677-juan-frantzisko-elorza-kortazar
Luzio  Elorza "Arrola"	https://bdb.bertsozale.eus/web/haitzondo/view/679-luzio-elorza-arrola
Nerea Elustondo	https://bdb.bertsozale.eus/web/haitzondo/view/683-nerea-elustondo
Abel Enbeita	https://bdb.bertsozale.eus/web/haitzondo/view/685-abel-enbeita
Jon Enbeita	https://bdb.bertsozale.eus/web/haitzondo/view/686-jon-enbeita
Moises Enbeita	https://bdb.bertsozale.eus/web/haitzondo/view/687-moises-enbeita
Juan Antonio  Enbeita "Txotxo-Jeuri"	https://bdb.bertsozale.eus/web/haitzondo/view/688-juan-antonio-enbeita-txotxo-jeuri
Oihane Enbeita	https://bdb.bertsozale.eus/web/haitzondo/view/689-oihane-enbeita
Balendin Enbeita	https://bdb.bertsozale.eus/web/haitzondo/view/691-balendin-enbeita
Xabier Enbeita	https://bdb.bertsozale.eus/web/haitzondo/view/694-xabier-enbeita
Onintza Enbeita	https://bdb.bertsozale.eus/web/haitzondo/view/695-onintza-enbeita
Oier Enbeita	https://bdb.bertsozale.eus/web/haitzondo/view/696-oier-enbeita
Kepa  Enbeita "Urretxindorra"	https://bdb.bertsozale.eus/web/haitzondo/view/698-kepa-enbeita-urretxindorra
Jose Mari  Larrañaga Odriozola "Larrumeko Markesa"	https://bdb.bertsozale.eus/web/haitzondo/view/5-jose-mari-larranaga-odriozola-larrumeko-markesa
Txapartegi	https://bdb.bertsozale.eus/web/haitzondo/view/8-txapartegi
Moxo	https://bdb.bertsozale.eus/web/haitzondo/view/10-moxo
Lonjinos	https://bdb.bertsozale.eus/web/haitzondo/view/13-lonjinos
Joxe Migel  Bitoria "Anbuerri"	https://bdb.bertsozale.eus/web/haitzondo/view/14-joxe-migel-bitoria-anbuerri
Ixkiña	https://bdb.bertsozale.eus/web/haitzondo/view/17-ixkina
Txantxo Koblaria	https://bdb.bertsozale.eus/web/haitzondo/view/21-txantxo-koblaria
Peru Abarrategi	https://bdb.bertsozale.eus/web/haitzondo/view/3192-peru-abarrategi
Jexux  Iruretagoiena "Baxakarte"	https://bdb.bertsozale.eus/web/haitzondo/view/1180-jexux-iruretagoiena-baxakarte
Erika Lagoma	https://bdb.bertsozale.eus/web/haitzondo/view/1181-erika-lagoma
Xalbador Laka	https://bdb.bertsozale.eus/web/haitzondo/view/1183-xalbador-laka
Ekintza Landa	https://bdb.bertsozale.eus/web/haitzondo/view/1187-ekintza-landa
Josu Landeta	https://bdb.bertsozale.eus/web/haitzondo/view/1190-josu-landeta
Antonio  Larra "Larra"	https://bdb.bertsozale.eus/web/haitzondo/view/1193-antonio-larra-larra
Jan Piarre  Larralde "Panpale"	https://bdb.bertsozale.eus/web/haitzondo/view/1194-jan-piarre-larralde-panpale
Bernard  Larralde "Bordaxuri"	https://bdb.bertsozale.eus/web/haitzondo/view/3792-bernard-larralde-bordaxuri
Martin  Larralde "Bordaxuri"	https://bdb.bertsozale.eus/web/haitzondo/view/1196-martin-larralde-bordaxuri
Larramendi	https://bdb.bertsozale.eus/web/haitzondo/view/1197-larramendi
