id	lemma	pos
903	anku	adj.
904	anku	s.
905	anku	s.
906	anku	s.
907	anku	s.
908	anku	s.
909	anku	s.
910	anku	s.
911	anku aycha	s.
912	ankumuy	v.mov.
913	anku pahu	s.
914	ankupay	s.
915	ankupayay	v.tr.
916	Ankuqala	s.
917	ankus	adj.
918	anku sach'a	s.
919	anku watarisa	s.
920	ankuy	v.tr.
921	ankuy	v.tr.
922	ankuyay	s.
923	ankuyay	v.tr.
924	ankhari	s.
925	ankhiy	v.tr.
926	anqallu	s.
927	anqara	s.
928	anqara	s.
929	anqas	adj.
930	anqas	s.
931	Anqas Mayu	s.
932	anqas ñawi	adj.
933	anqas p'acha	s.
934	anqaylli	s.
935	anqi	adj.
936	anqil	s.
937	anqil simi	s.
938	anquchi	s.
939	anqusay	v.tr.
940	anri	adj.
941	anri	adv.m.
942	ansaqiy	v.intr.
943	ansa waycha	s.
944	ansyas	s.
945	anta	adj.
946	anta!	interj.
947	anta	s.
948	anta	s.
949	anta	s.
950	anta	s.
951	anta	s.
952	antakasha	s.
953	antaki	s.
954	anta kiru	s.
955	antaku	s.
956	antakuru	s.
957	antakuru kuyuchina	s.
958	antakuru ñan	s.
959	antakuyu	s.
960	antanka	s.
961	antanka	s.
962	antankap sapran	s.
963	antanka phawachiq	s.
964	anta ñiqiq	s.
965	anta ñiqiq chaski	s.
966	anta pachachiq	s.
967	antaqa	adj.
968	anta qullqi	s.
969	anta qullqi	s.
970	antara	s.
971	antarka	adv.m.
972	anta sitwa	s.
973	antasitwa killa	s.
974	antawa	s.
975	antawa ñan	s.
976	antawara	s.
977	antawaramuy	v.impers.
978	Antawaylla	s.
979	Antawaylla(cha)	s.
980	anta wich'i	s.
981	antay	s.
982	antayari	s.
983	antayay	adj.
984	antaykira	s.
985	anti	adj.
986	anti	s.
987	Anti	s.
988	antichaw	s.
989	antigal	s.
990	anti llaqtachakuq	s.
991	anti llaqtayuq	s.
992	antipuka	adj.
993	anti runa	adj.
994	anti runap	adj.poses.
995	antis	adv.m.
996	antisuyu	s.
997	Antisuyu	s.
998	anti unquy	s.
999	anti wata	s.
1000	antiwu	adj.
1001	antuhay	v.tr.
1002	antuta	s.
1003	anukachiy	v.tr.
1004	anukay	s.
1005	anukay	v.tr.
1006	anukchi	adj.
1007	anukchi	s.
1008	anunas	s.
1009	anuta	adj.
1010	anya	s.
1011	anyachiy	v.tr.
1012	anyay	v.dic.
1013	anyay	v.tr.
1014	aña	adj.
1015	añaka	s.
1016	añaka	s.
1017	añakaw	adj.
1018	Añakaw!	interj.
1019	añaki	s.
1020	añaku	adj.
1021	añalla	s.
1022	añallaw	adj.
1023	Añallaw!	interj.
1024	añanchay	v.tr.
1025	añanku	s.
1026	añanku	s.
1027	añanqa	s.
1028	Añañaw!; Añaw!	interj.
1029	añapa	s.
1030	añapira	s.
1031	añaru	s.
1032	añas	s.
1033	Añasi	s.
1034	añasu	s.
1035	añathuya	s.
1036	añathuya	s.
1037	añaw	s.
1038	añawaya	s.
1039	añawi	s.
1040	añay!	expr.
1041	añay	s.
1042	añaychay	s.
1043	añaychay	v.tr.
1044	Añaychayki!	expr.
1045	añayllu	s.
1046	añaynikuy	s.
1047	añayniy	s.
1048	añayniy	v.tr.
1049	añikuy	v.intr.
1050	añis	s.
1051	añiy	v.tr.
1052	añu	s.
1053	añu	s.
1054	añuritay	interj.
1055	apa	s.
1056	apacha	s.
1057	apachikuy	s.
1058	apachikuy	v.tr.
1059	apachimpuy	v.tr.
1060	apachimuy	v.tr.
1061	apachiqta	s.
1062	apachita	s.
1063	apachiy	v.tr.
1064	apaka	s.
1065	apakamuy	v.tr.
1066	apaku	adj.
1067	apaku	s.
1068	apakuy	v.tr.
1069	apalli	s.
1070	apamuy	v.tr.
