wiki_id,lila_id
L267555,lemma/96319
L267556,lemma/96320
L267566,lemma/96327
L267568,lemma/96328
L274437,lemma/103883
L274438,lemma/103884
L274440,lemma/103888
L274446,lemma/103900
L274449,lemma/104135
L274451,lemma/103904
L274489,hypolemma/17444
L274490,lemma/103974
L274492,lemma/103982
L274502,lemma/103990
L274504,lemma/103992
L274522,lemma/104015
L274525,lemma/104025
L274530,lemma/104022
L274534,lemma/104031
L274536,lemma/104041
L274543,lemma/104058
L274544,lemma/104061
L274550,lemma/104076
L274551,lemma/104074
L274556,lemma/104080
L274563,lemma/104094
L274569,lemma/104111
L274574,lemma/104246
L274580,lemma/7723
L274581,lemma/54370
L274600,lemma/7751
L274607,lemma/104303
L274609,lemma/104313
L274610,lemma/104313
L274623,lemma/104346
L274652,lemma/104396
L274653,lemma/104398
L274679,lemma/104443
L274680,hypolemma/17855
L274689,lemma/104455
L274695,hypolemma/98902
L274703,lemma/104487
L274707,lemma/104493
L274711,lemma/104493
L274714,lemma/104501
L274731,lemma/104529
L274734,lemma/104528
L274735,lemma/104531
L274737,lemma/104536
L274743,lemma/104559
L274756,lemma/139604
L274763,lemma/55443
L274771,lemma/104621
L274782,lemma/104659
L274784,lemma/104666
L274785,lemma/104674
L274799,lemma/104710
L274810,lemma/104725
L274829,lemma/95862
L274838,lemma/104791
L274851,lemma/8329
L274868,lemma/104832
L274870,lemma/104834
L274876,lemma/104845
L274911,hypolemma/18307
L274920,lemma/104903
L274921,lemma/104905
L274934,lemma/104785
L274953,lemma/104948
L274961,lemma/97218
L274973,lemma/104983
L274974,lemma/104984
L274977,lemma/56691
L274989,lemma/105000
L274993,hypolemma/18376
L275005,lemma/105055
L275024,lemma/105071
L275029,lemma/105089
L275030,lemma/105092
L275035,lemma/105105
L275038,lemma/88319
L275043,lemma/105123
L275046,lemma/105130
L275052,lemma/8686
L275057,lemma/105161
L275060,lemma/105162
L275061,lemma/105164
L275070,lemma/105064
L275074,lemma/105179
L275091,lemma/89997
L275096,lemma/105199
L275107,lemma/105221
L258374,lemma/89560
L258377,lemma/89561
L258394,lemma/89566
L258398,lemma/90985
L258418,lemma/89591
L258430,lemma/89603
L258431,lemma/89604
L258443,lemma/89611
L258451,lemma/89618
L258474,hypolemma/2905
L258477,lemma/89634
L258505,lemma/138541
L258517,lemma/86985
L258525,hypolemma/182
L258533,hypolemma/188
L258537,lemma/87024
L258549,lemma/88228
L258560,lemma/87018
L258565,lemma/87021
L258589,lemma/87042
L258598,lemma/89424
L258639,lemma/89710
L258647,lemma/89715
L258687,lemma/89747
L258691,lemma/89751
L258692,lemma/89752
L258701,lemma/90157
L258704,lemma/89762
L258706,lemma/89766
L258721,lemma/89776
L258733,lemma/89780
L258736,lemma/89790
L258739,lemma/89792
L258746,lemma/89798
L258750,lemma/89801
L258762,lemma/89809
L258763,lemma/89810
L258798,lemma/31589
L258800,lemma/137351
L258818,lemma/89854
L258825,lemma/89865
L258831,lemma/89871
L258835,lemma/89875
L258837,lemma/90057
L258850,lemma/22411
L258876,hypolemma/3134
L258892,lemma/105158
L258905,hypolemma/3149
L258906,lemma/105170
L258912,lemma/90988
L258921,lemma/89924
L258947,lemma/89941
L258952,lemma/89946
L258956,lemma/89950
L258967,lemma/137446
L258980,hypolemma/3196
L258987,lemma/89968
L258989,lemma/89970
L259002,lemma/89980
L259011,lemma/89989
L259017,lemma/89996
L259044,lemma/90025
L259060,lemma/105178
