wd_item,wd_itemLabel,wn31
Q4876098,Beagling,00453888-n
Q515302,Coursing,00454150-n
Q1025479,deer hunting,00454337-n
Q133333,foxhunting,00454502-n
Q14373,fishing,00455145-n
Q1194492,angling,00455261-n
Q898886,fly fishing,00455419-n
Q2092049,sidesaddle,00455466-r
Q1055865,overcast,00456100-n
Q11410,game,00456623-n
Q11410,game,00457223-n
Q1142807,Cuajada,00458725-v
Q103632,chess opening,00458914-n
Q663403,fast break,00459118-n
Q1142807,Cuajada,00459231-v
Q839864,party game,00459824-n
Q653928,pinball machine game,00460308-n
Q836661,pachinko,00460489-n
Q83772,toplessness,00460521-a
Q2144077,charades,00460751-n
Q136851,curling,00462672-n
Q172809,ten-pin bowling,00462843-n
Q172809,ten-pin bowling,00463302-n
Q706199,nine-pin bowling,00463444-n
Q706199,nine-pin bowling,00463618-n
Q895471,bowls,00463865-n
Q1055865,overcast,00464004-a
Q33135384,bocce,00464058-n
Q41466,ice hockey,00464604-n
Q405153,Primorsko,00464942-a
Q125460,Simon Mignolet,00465105-n
Q172964,goalkeeper,00465105-n
Q1317534,goaltender,00465105-n
Q633923,tetherball,00465345-n
Q7707,water polo,00465546-n
Q5377,golf,00465962-n
Q247232,Stroke play,00467592-n
Q754796,miniature golf,00467780-n
Q193387,croquet,00467948-n
Q192832,paintball,00468190-n
Q3273392,quoits,00468388-n
Q1975513,shuffleboard,00468604-n
Q1455,field hockey,00469063-n
Q7497689,Shinny,00469374-n
Q1081491,football codes,00469555-n
Q41323,American football,00470726-n
Q15991267,professional football,00471629-n
Q970584,Touch football,00471757-n
Q213711,hurling,00471905-n
Q5378,rugby,00472041-n
Q877517,ball game,00472512-n
Q5369,baseball,00472688-n
Q171038,softball,00476798-n
Q1075286,rounders,00477151-n
Q5354472,stickball,00477246-n
Q5375,cricket,00477400-n
Q3174333,googly,00478108-n
Q185851,lacrosse,00478403-n
Q134211,polo,00478650-n
Q2397404,pushball,00478838-n
Q244700,ultimate,00478997-n
Q8418,handball,00480451-n
Q192047,machining,00480529-v
Q754586,racquetball,00480627-n
Q133201,squash,00480898-n
Q1734,volleyball,00481222-n
Q7808984,tiptoe,00481324-r
Q2064236,fronton,00481377-n
Q7291,badminton,00481519-n
Q192047,machining,00481682-v
Q5372,basketball,00482004-n
Q5358065,professional basketball,00482814-n
Q2851743,deck tennis,00482949-n
Q231200,netball,00483133-n
Q847,tennis,00483309-n
Q18123880,tennis singles,00484420-n
Q18123885,tennis doubles,00484616-n
Q2360406,real tennis,00484716-n
Q1055193,pallone,00484859-n
Q884216,blind man's bluff,00485373-n
Q171957,hide-and-seek,00485921-n
Q27981,hopscotch,00486092-n
Q20452,knucklebones,00486273-n
Q1631315,leapfrog,00487009-n
Q6935360,Mumblety-peg,00487501-n
Q53705,peekaboo,00488083-n
Q287287,pillow fight,00488239-n
Q656619,tag,00488885-n
Q11701320,Tiddlywinks,00489062-n
Q142714,card game,00489236-n
Q739895,baccarat,00490944-n
Q228044,blackjack,00491361-n
Q188966,contract bridge,00491580-n
Q115691024,Depth sounding,00492625-v
Q1047595,Cassino,00492724-n
Q1139885,Cribbage,00492912-n
Q3059474,Euchre,00493320-n
Q1639186,Faro,00493735-n
Q219567,hydrophobe,00493794-a
Q1297,Chicago,00494319-n
Q476996,Old maid,00494869-n
Q1019517,Bezique,00495111-n
Q1898942,Pinochle,00495111-n
Q655453,Piquet,00495304-n
Q80131,poker,00495779-n
Q756011,Rummy,00496342-n
Q589260,soundproofing,00496441-v
Q2056928,patience,00496535-n
Q52670593,Solitaire,00496535-n
Q1191033,Klondike,00496785-n
Q767979,whist,00497178-n
Q5313939,Dummy whist,00497448-n
Q282971,marooning,00497570-v
Q867799,Hearts,00497610-n
Q278854,Canasta,00498071-n
Q7624087,strip game,00499097-n
Q34228,sign language,00500206-a
Q3930,table tennis,00500274-n
Q32907,dominoes,00500488-n
Q724409,Nim,00500610-n
Q3341285,cue sports,00500935-n
Q11020,pool,00502091-n
Q11015,snooker,00502315-n
Q621875,bagatelle,00502490-n
Q1765598,word search,00503041-n
Q131436,board game,00503426-n
Q11411,backgammon,00503833-n
Q1293,draughts,00503963-n
