line	lid	adib	headword	normalized	aftercomma
619	L441	1	abistuka	abistuka
620	L442	73	abisu	abisu
621	L443	8	habitant	habitant
622	L444	3	habitatu	habitatu
623	L445	22	abitu	abitu
624	subentry	9	ABITUA ARTU, JANTZI
625	L446	0	abixeta	abixeta
626	L447	0	abixoi	abixoi
627	L448	0	abixon	abixon
628	L449	0	abixonka	abixonka
629	L450	36	abizen	abizen
630	L451	0	abo	abo
631	L452	4	aboatu	aboatu
632	L453	44	abogadu	abogadu
633	L454	2	abogadutza	abogadutza
634	L455	2	abogatu	abogatu
635	L456	6	abonadu	abonadu
636	L457	1	abonamendu	abonamendu
637	L458	7	abondanki	abondanki
638	L459	9	abondant	abondant
639	L460	20	abondantzia	abondantzia
640	L461	1	abondo	abondo
641	L462	2	abonitu	abonitu
642	L463	3	abonu	abonu
643	L464	0	abor	abor
644	L465	0	abori	abori
645	L466	87	haboro	haboro
646	subentry	2	HABOROZ HABORO
647	L467	1	haborokin	haborokin
648	L468	1	aborrentzi	aborrentzi
649	L469	1	aborrezimentu	aborrezimentu
650	L470	9	aborrezitu	aborrezitu
651	L471	1	aborrigarri	aborrigarri
652	L472	7	aborrimendu	aborrimendu
653	L473	18	aborritu	aborritu
654	L474	2	abortza	abortza
655	L475	0	aboska	aboska
656	L476	0	abrailla	abrailla
657	L477	0	abrasma	abrasma
658	L478	0	abrasmakiro	abrasmakiro
659	L479	1	abrasmatasun	abrasmatasun
660	L480	0	abrats	abrats
661	L481	0	abre	abre
662	L482	0	abrebasle	abrebasle
663	L483	0	abreña	abreña
664	L484	3	abrigu	abrigu
665	L485	3	abrikot	abrikot
666	L486	0	abrikotze	abrikotze
667	L487	3	abrio	abrio
668	L488	0	abrunada	abrunada
669	L489	0	abruska	abruska
670	L490	7	absintio	absintio
671	L491	0	absolbatu	absolbatu
672	L492	0	absolbazino	absolbazino
673	L493	1	absolbiarazi	absolbiarazi
674	L494	28	absolbitu	absolbitu
675	L495	0	absolitu	absolitu
676	L496	2	absolutamente	absolutamente
677	L497	3	absolutoki	absolutoki
678	L498	9	absolutu	absolutu
679	L499	29	absoluzio	absoluzio
680	L500	0	absoluzione	absoluzione
681	L501	1	abstinent	abstinent
682	L502	8	abstinenzia	abstinenzia
683	L503	3	abstraktu	abstraktu
684	L504	1	abstraktuki	abstraktuki
685	L505	1	abstrakzione	abstrakzione
686	L506	1	absurdo	absurdo
687	L507	0	1 abu	abu
688	L507	0	2 abu	abu
689	L508	0	habu	habu
690	L509	0	abudo	abudo
691	L510	0	abuila	abuila
692	L511	13	habuin	habuin
693	L512	0	habuindu	habuindu
694	L513	1	habuintsu	habuintsu
695	L514	0	abuja	abuja
696	L515	0	abundantzia	abundantzia
697	L516	0	abundos	abundos
698	L517	0	abundoski	abundoski
699	L518	0	abundu	abundu
700	L519	3	abuntun	abuntun
701	L520	1	1 abur	abur
702	L521	0	aburdiko	aburdiko
703	L522	0	aburikai	aburikai
704	L523	1	haburikatu	haburikatu
705	L524	0	haburina	haburina
706	L525	0	aburmo	aburmo
707	L526	0	aburna	aburna
708	L527	0	aburrell	aburrell
709	L528	1	aburritu	aburritu
710	L529	0	aburska	aburska
711	L530	0	aburtoin	aburtoin
712	L531	28	aburu	aburu
713	subentry	0	ABURUZKA
714	L532	1	aburuka	aburuka
715	L533	3	aburumenka	aburumenka
716	L534	1	aburupen	aburupen
717	L535	1	aburupenka	aburupenka
718	L536	3	abusagailu	abusagailu
719	L537	2	abusamendu	abusamendu
720	L538	1	abusari	abusari
721	L539	6	1 abusatu	abusatu
722	L539	11	2 abusatu	abusatu
723	L540	0	abusta	abusta
724	L541	4	abusu	abusu
725	L542	0	abuz	abuz
726	L543	38	abuztu	abuztu
727	subentry	6	AMA BIRJINA ABUZTUKO
728	multiword_mainentry	0	-ada	-ada
729	multiword_mainentry	0	ada-	ada-
730	L544	1	adabaketa	adabaketa
731	L545	20	adabaki	adabaki
732	L546	7	adabakitu	adabakitu
733	L547	19	adabatu	adabatu
734	L548	1	adabatzaile	adabatzaile
735	L549	2	adabazain	adabazain
736	L550	2	adabegi	adabegi
737	L551	1	adabegitsu	adabegitsu
738	L552	23	adaburu	adaburu
739	L553	0	adaburutsu	adaburutsu
740	L554	2	adaburutu	adaburutu
741	multiword_mainentry	0	adagan-	adagan-
742	subentry	0	ADAGANEAN
743	L555	0	adagili	adagili
744	L556	0	adaite	adaite
745	L557	0	adaje	adaje
746	L558	4	adaka	adaka
747	L559	0	adakai	adakai
748	L560	0	adakaitu	adakaitu
749	L561	0	adakatu	adakatu
750	L562	0	adakera	adakera
751	L563	14	adaki	adaki
752	subentry	0	ADAKI-IKATZ
753	L564	0	adako	adako
754	L565	0	adalera	adalera
755	L566	0	adan	adan
756	L567	0	adantzu	adantzu
757	L568	0	adañi	adañi
758	L569	0	adapo	adapo
759	L570	0	adapotsu	adapotsu
760	L571	147	adar	adar
761	subentry	0	ADAR-AKETS
762	subentry	0	ADAR-APOTZ
763	subentry	0	ADAR-BAKAR, -BAKOITZ
764	subentry	0	ADAR-BATU
765	subentry	0	ADAR-BILDU
766	subentry	1	ADAR-JOKA
767	subentry	5	ADAR-JOTZAILE
768	subentry	5	ADAR-JOTZE
769	subentry	0	ADAR-KHÜLO
770	subentry	0	ADAR-KURRO
771	subentry	2	ADAR-MOTZ
772	subentry	1	ADAR-OKER
773	subentry	0	ADAR-PALET
774	subentry	17	ADARRA JO
775	subentry	0	ADAR-SARDE
776	subentry	0	ADAR-TENTE
777	subentry	0	ADAR-TXONPOR
778	subentry	0	ADAR-TXORDO
779	subentry	0	ADARTXUT
780	subentry	0	ADAR-ÜTSÜ
781	subentry	3	ADAR-ZABAL
782	L572	3	adarbakar	adarbakar
783	L573	4	adarbakoitz	adarbakoitz
784	L574	0	adarbegi	adarbegi
785	L575	0	adarburu	adarburu
786	L576	1	adardi	adardi
787	L577	20	adardun	adardun
788	L578	3	adareta	adareta
789	L579	1	adarga	adarga
790	L580	3	adargabe	adargabe
791	L581	0	adargabetu	adargabetu
792	L582	0	adargetu	adargetu
793	L583	2	adargili	adargili
794	L584	1	adargoi	adargoi
795	L585	1	adargune	adargune
796	L586	7	adarka	adarka
797	subentry	1	ADARKA EGIN
798	L587	4	adarkada	adarkada
799	L588	2	adarkadura	adarkadura
800	L589	0	adarkaiztu	adarkaiztu
801	L590	1	adarkari	adarkari
802	L591	4	adarkatu	adarkatu
803	L592	1	adarkazo	adarkazo
804	L593	0	adarkera	adarkera
805	L594	6	adarme	adarme
806	L595	0	2 adarraki	adarraki
807	L596	0	adarraldi	adarraldi
808	L597	0	adarratu	adarratu
809	L598	1	adarreko	adarreko
810	L599	0	adarreztatu	adarreztatu
811	L600	0	adarrondo	adarrondo
812	L601	1	adarrondotsu	adarrondotsu
813	L602	2	adarroska	adarroska
814	L603	0	adarrune	adarrune
815	L604	0	adarsko	adarsko
816	L605	0	adarta	adarta
817	L606	11	adartsu	adartsu
818	L607	1	adartu	adartu
819	L608	0	adarturunta	adarturunta
820	L609	10	adartxo	adartxo
821	L610	0	adarxka	adarxka
822	L611	0	adarzkari	adarzkari
823	L612	1	adasdun	adasdun
