lemma,mlv_lid
aitañi,L1430
aitaño,L1431
aitanza,L1429
aitaorde,L1432
aitapen,L1433
aitapendu,L1434
aitapentsu,L1435
aitaren,L1436
aitarenka,L1437
aitasaba,L1438
aitasaindutasun,L1439
aitaso,L1440
aitasotu,L1441
aitatar,L1442
aitatasun,L1443
aitatiar,L1444
aitatto,L1445
aitatu,L1446
aitatxi,L1447
aitatxo,L1448
aitatzako,L1449
aitatze,L1450
aitaurren,L1451
aitaxo,L1452
aitaxun,L1453
aitazko,L1454
aiterri,L1455
aiterrizale,L1456
aitita,L1458
aitobe,L1459
aitona,L1460
aitonatxo,L1461
aitondu,L1462
aitontasun,L1463
aitor,L1464
aitoren,L1465
aitorgarri,L1466
aitorgile,L1467
aitorketa,L1468
aitorkide,L1469
aitorkizun,L1470
aitorkun,L1471
aitorkuntza,L1472
aitorlari,L1473
aitorle,L1474
aitorleku,L1475
aitormen,L1476
aitormendu,L1477
aitorpen,L1478
aitorrera,L1479
aitortegi,L1480
