wikibase_item,pdf,zot_st,zot
Q35708,https://www.inguma.eus/fso/fitxategia/466-ikergazte.i.573_579.pdf,Q35708-61ACB2AF-A77D-4BAE-9EA1-9CB953611C89,9ZFICKY3
Q35709,https://www.inguma.eus/fso/fitxategia/465-ikergazte.i.564_572.pdf,Q35709-192FF63D-DF4D-4437-967E-BED7EA426A23,LWKMJND8
Q35710,https://www.inguma.eus/fso/fitxategia/464-ikergazte.i.557_563.pdf,Q35710-F5A9271B-0905-44A4-B61C-EFBB95F26DAA,VNQFM22S
Q35711,https://www.inguma.eus/fso/fitxategia/463-ikergazte.i.551_556.pdf,Q35711-EA005F76-1B5F-4D7F-BF9C-BB4DAE1F2E34,JY8N4SCE
Q35714,https://www.inguma.eus/fso/fitxategia/460-ikergazte.i.530_536.pdf,Q35714-2A0C5591-AFD3-40E8-A629-017780E6F48E,T4A47XDU
Q35715,https://www.inguma.eus/fso/fitxategia/459-ikergazte.i.522_529.pdf,Q35715-5DA8DFA5-65E1-458E-994F-40A8C08897A4,8CCSLSWS
Q35717,https://www.inguma.eus/fso/fitxategia/457-ikergazte.i.509_515.pdf,Q35717-B8B7C523-4375-4202-A1F9-3C67239883DF,V5M89FAB
Q35718,https://www.inguma.eus/fso/fitxategia/456-ikergazte.i.503_508.pdf,Q35718-EC1393A1-2B48-4F7D-9662-A5177033E8C0,97QV64NS
Q35719,https://www.inguma.eus/fso/fitxategia/455-ikergazte.i.495_502.pdf,Q35719-5D8DBB5F-CAD3-4D7C-9AF9-41D0BA4AEDAC,SMVDY997
Q35720,https://www.inguma.eus/fso/fitxategia/454-ikergazte.i.489_494.pdf,Q35720-37490895-8F0B-43A0-84E2-B7A1E14BB00F,Q2WSXJ79
Q35721,https://www.inguma.eus/fso/fitxategia/453-ikergazte.i.481_488.pdf,Q35721-4143C70A-200B-4198-BB77-4A42002AC8D9,2GVIGVN8
Q35723,https://www.inguma.eus/fso/fitxategia/451-ikergazte.i.467_474.pdf,Q35723-A42DF1F8-2897-4384-9D45-E7A2DC1FA964,24RJPV83
Q35725,http://ueu.org/download/liburua/IKERGAZTE_0.2015.pdf,Q35725-940EA3D4-D813-4E85-8419-8F388F3D55BD,8XA4X59J
Q35726,https://www.inguma.eus/fso/fitxategia/449-ikergazte.i.445_450.pdf,Q35726-59D7BFC4-FA61-4207-ADB7-B9C5ED9EB6DA,2YPJ6G76
Q35727,https://www.inguma.eus/fso/fitxategia/448-ikergazte.i.438_444.pdf,Q35727-895DC0DC-1C12-4BA1-8171-CBF40A47F8A4,94NJMF5C
Q35729,https://www.inguma.eus/fso/fitxategia/446-ikergazte.i.425_431.pdf,Q35729-3B26DF8F-3961-4C2D-A53F-6B0992609CAE,VGPGKXLZ
Q35730,https://www.inguma.eus/fso/fitxategia/445-ikergazte.i.417_424.pdf,Q35730-6AF2101F-1185-4980-8B80-184134ED1616,5FVSCXH8
Q35731,https://www.inguma.eus/fso/fitxategia/444-ikergazte.i.409_416.pdf,Q35731-D057EF0D-027C-4A6E-A446-A9CB947D6576,WH336WR4
Q35733,https://www.inguma.eus/fso/fitxategia/442-ikergazte.i.395_400.pdf,Q35733-974D4D39-8FE7-4D71-BDD7-4F3DFF247DA2,V7VVUF6B
Q35734,https://www.inguma.eus/fso/fitxategia/441-ikergazte.i.389_394.pdf,Q35734-5DE2131B-6982-4904-BB21-80AB5B420073,XCZEBAX6
